SainzTiebauzfu	Sainz Tiebauz fu
nezenleveschédeTroies;sesperesotnon	nez en l  evesché de Troies ; ses peres ot non
Ernousetsa	Ernous et sa
mere,Gileetfurentfrançoisetfurentmoltnoblegent	mere , Gile et furent françois et furent molt noble gent
etdegrantlynaige	et de grant lynaige
.ilfunorrizaProvins.SainzTiebauzlievesques	. il fu norriz a Provins . Sainz Tiebauz li evesques
deViennefuoncless	de Vienne fu oncles s 
aiole.EtporluifuilapelezTiebaut.CilsainzTiebauzdeVienneparloitsouventalameredameGilequimerefu	aiole . Et por lui fu il apelez Tiebaut . Cil sainz Tiebauz de Vienne parloit souvent a la mere dame Gile qui mere fu
cestuiThiebautetaucunefoizlidit:«Aiesjoieetleesceenton	cestui Thiebaut et aucune foiz li dit :« Aies joie et leesce en ton
cuercartuaurasunefillequiaura.i.filquiserademoltgrantmeritedevantDieuetde	cuer car tu auras une fille qui aura . i . fil qui sera de molt grant merite devant Dieu et de
grantlosentreleshomes.»DecesteanonciationquelisainzevesquesfistdesaintTiebautportaentesmoignage(f°CLXV	grant los entre les homes .» De ceste anonciation que li sainz evesques fist de saint Tiebaut porta en tesmoignage ( f ° CLXV
v°cola)unepovrepreudefamevevequivinta	v ° col a ) une povre preudefame veve qui vint a
dameGilequijaestoitençaintedestTiebautetlidit:«Confortetoiet	dame Gile qui ja estoit ençainte de st Tiebaut et li dit :« Conforte toi et
soieslieecartuportesentonventre.i.filquison	soies liee car tu portes en ton ventre . i . fil qui son
lieuauradevantDieuetquigranthonnorferaatozsesparenz	lieu aura devant Dieu et qui grant honnor fera a toz ses parenz
.»LichastiausdeProvinsousainzTiebauzfunorriz,sicomnosavonscidevantdit,est	.» Li chastiaus de Provins ou sainz Tiebauz fu norriz , si com nos avons ci devant dit , est
unlieusouilamoltdegentetfuçaenarriereau	un lieus ou il a molt de gent et fu ça en arriere au
bonconteHuedonquisiresfudeChampaignedecuiparaigessainzTiebauzfunez.Quantilot	bon conte Huedon qui sires fu de Champaigne de cui paraiges sainz Tiebauz fu nez . Quant il ot
passélaaigedesenfance,ilnesacorda	passé l  aaige de s  enfance , il ne s  acorda
pasalavolentédoumonde,ainz	pas a la volenté dou monde , ainz
escotadiligemmentetreçuitlescoumandemenzJhesuCristetpansoitmoutsouventensoncueralasolitaireviedes	escota diligemment et reçuit les coumandemenz Jhesu Crist et pansoit mout souvent en son cuer a la solitaire vie des
ermitesetdesautresquiapresausfurent;ildesirroitvestiraspresrobesetuserdepetitesviandes	ermites et des autres qui apres aus furent ; il desirroit vestir aspres robes et user de petites viandes
en.i.solitairelieu.Unjoravintentrecespansesquilsedeparticeleementdeses	en . i . solitaire lieu . Un jor avint entre ces panses qu  il se departi celeement de ses
genzetalae.i.hermitequiestoiten	genz et ala e . i . hermite qui estoit en
uneillede	une ille de
Sainneetlidescouvritoutsoncuer.Apresce,par	Sainne et li descouvri tout son cuer . Apres ce , par
leconsoildecelhermite,iletunschevaliers,qui	le consoil de cel hermite , il et uns chevaliers , qui
sescompainzestoitquiGautiersestoitapelez,monterentsorlorchevauxetduiescuieretalerent	ses compainz estoit qui Gautiers estoit apelez , monterent sor lor chevaux et dui escuier et alerent
alacitédeRains.EntelmennieresainzTiebauzquiestoitchevaliersNostreSeignor	a la cité de Rains . En tel menniere sainz Tiebauz qui estoit chevaliers Nostre Seignor
laissaporSamortouzses	laissa por S  amor touz ses
palaisetsonpereetsamereetsesfreresetsesparenz	palais et son pere et sa mere et ses freres et ses parenz
etsamaisnieettoutessesrichescesettotlebobantdoumondeetsenalaentelmenniere	et sa maisnie et toutes ses richesces et tot le bobant dou monde et s  en ala en tel menniere
avocsoncompaignon.QuantilvindrentaRains,etilfurenthebergiédallezsaintRemi,ilquistrentachoisondeviseterl	avoc son compaignon . Quant il vindrent a Rains , et il furent hebergié dallez saint Remi , il quistrent achoison de viseter l 
eglyseetlaisserentlorescuiersetlorchevausetissirent	eglyse et laisserent lor escuiers et lor chevaus et issirent
toutapiédelorosteletproposerentquiliroientapiéfairelorpeneance.Endementiersquilsen	tout a pié de lor ostel et proposerent qu  il iroient a pié faire lor peneance . Endementiers qu  il s  en
aloientilencontrerent.i.pelerinsetlordonnerentlorrichesrobesetsevestirentdelorpovres;etpuis	aloient il encontrerent . i . pelerins et lor donnerent lor riches robes et se vestirent de lor povres ; et puis
sendepartirenttuitnupiéetalerentde	s  en departirent tuit nu pié et alerent de
jorenjortantquilvindrentenAlemaigne.Lademourerentil	jor en jor tant qu  il vindrent en Alemaigne . La demourerent il
moltlonctensetsoffrirentdelorproprevolentégranzpovretezporl	molt lonc tens et soffrirent de lor propre volenté granz povretez por l
amordeJhesuCristetsoffrirent(col.b)granztravauspor	 amor de Jhesu Crist et soffrirent ( col . b ) granz travaus por
lorvies.Ilportoientpierresalorcous,ilfauchoientlesprez,	lor vies . Il portoient pierres a lor cous , il fauchoient les prez ,
ilcuroientlesestables.Ala	il curoient les estables . A la
parfinilfirentcharbonetentelmennieregaaignoit	parfin il firent charbon et en tel menniere gaaignoit
povrementlorviesetgardoientcequilpooientgaaignierporalerempelerinaigeasaintJaquesenGaliceUnpoudetensapres	povrement lor vies et gardoient ce qu  il pooient gaaignier por aler em pelerinaige a saint Jaques en Galice Un pou de tens apres
ilfirentlorpelerinaigetuitdeschauz.Quantilrevenoient,lideaublessaparut	il firent lor pelerinaige tuit deschauz . Quant il revenoient , li deaubles s  aparut
aausensemblancedomeetalacosteacostede	a aus en semblance d  ome et ala coste a coste de
saintTiebautetselaissacheoirdevantluitouzestenduzetentelmennierelisainzcheïparmiluietreclamalenom	saint Tiebaut et se laissa cheoir devant lui touz estenduz et en tel menniere li sainz cheï parmi lui et reclama le nom
JhesuCristetsegarni	Jhesu Crist et se garni
dousignedelacroizetmaintenantlideaublessesvanui.	dou signe de la croiz et maintenant li deaubles s  esvanui .
AprescezchosessainzTiebauzrevintaTrievesenAlemaigneettrouvasonpere,jasoitcequebelnelifust	Apres cez choses sainz Tiebauz revint a Trieves en Alemaigne et trouva son pere , ja soit ce que bel ne li fust
pasdeceletroeve..I.	pas de cele troeve .. I .
pouapressainzTiebauzsedepartidelaetalaaRoume.Etporcequilavoitdesirrier	pou apres sainz Tiebauz se departi de la et ala a Roume . Et por ce qu  il avoit desirrier
deveoirlesepucreNostreSeignor,ilsenalaenVeniceetpuisenLombardieettrova	de veoir le sepucre Nostre Seignor , il s  en ala en Venice et puis en Lombardie et trova
laentor.i.lieuc	la entor . i . lieu c 
omapeloitSalins.Ilregardale	om apeloit Salins . Il regarda le
lieuettrovaparlavolontédeDieuunegrantplaceet	lieu et trova par la volonté de Dieu une grant place et
enceleplacelesmursausicomduneviezeglyseetlademouraaprescequilot	en cele place les murs ausi com d  une viez eglyse et la demoura apres ce qu  il ot
soncorstravailliéenmaintpelerinaigeetfisttantenverslesseigneursdoulieuqueon	son cors travaillié en maint pelerinaige et fist tant envers les seigneurs dou lieu que on
lidonnalaplace.Etlorsfistune	li donna la place . Et lors fist une
petitemesonneteetlahabitaetmenasaintevieparlonctens.Premierementilfistabstinencedechar,apresilnemanjane	petite mesonnete et la habita et mena sainte vie par lonc tens . Premierement il fist abstinence de char , apres il ne manja ne
nebutforsquepaindorgeetaigue	ne but fors que pain d  orge et aigue
.Alaparfinilnemanjanebutforsquefruitetherbes	. A la parfin il ne manja ne but fors que fruit et herbes
etracines.Entelmenniereilvesquilonctens	et racines . En tel menniere il vesqui lonc tens
ettoutades	et tout ades
vestilahaireempressachar.QuantNostreSiresvitquilmontoitsi	vesti la haire empres sa char . Quant Nostre Sires vit qu  il montoit si
devertuenvertu,ilvoltquilmontastjusquala	de vertu en vertu , il volt qu  il montast jusqu  a la
dignitédeprovoireetilsifist	dignité de provoire et il si fist
comDiexlavoitporveu.Apresceil	com Diex l  avoit porveu . Apres ce il
fistmoltdediversespeneancesenlesquiexilnedormipas	fist molt de diverses peneances en les quiex il ne dormi pas
engisantmesenseant.Etcestechosefaisoitilsisoutilmentquilsecouchoitensonlitdevantcezqui	en gisant mes en seant . Et ceste chose faisoit il si soutilment qu  il se couchoit en son lit devant cez qui
leservoientetsecouvroitbien.Etquantilestoientcouchié,il	le servoient et se couvroit bien . Et quant il estoient couchié , il
selevoitisnellementetsemetoitenoroisonsagenoxetamainsjointesporluietportoutes	se levoit isnellement et se metoit en oroisons a genox et a mains jointes por lui et por toute s 
églyseEtquantilvenoitaleuredematines,il	églyse Et quant il venoit a l  eure de matines , il
senaloitcouchierensonlitporcequilne	s  en aloit couchier en son lit por ce qu  il ne
voloitpasquesamaisniesenaperceust.Ses	voloit pas que sa maisnie s  en aperceust . Ses
lizestoitunegranzhuchelargeensamblancedunegrantcoucheetestoitcouverzdedrasdelin;	liz estoit une granz huche large en samblance d  une grant couche et estoit couverz de dras de lin ;
etasonchevezavoit.i.	et a son chevez avoit . i .
tronset.	trons et .
i.chapeldelainnequilavoitportéensesvoiaigesporlachalor.Quantilotensi	i . chapel de lainne qu  il avoit porté en ses voiaiges por la chalor . Quant il ot ensi
travoillésoncorslonguementsorcelehuche,porcequilfeistplusdepeneance,il	travoillé son cors longuement sor cele huche , por ce qu  il feist plus de peneance , il
mistunehaire	mist une haire
desozsesdrasdelin.Etenlieudequilsoloitgesirsorcellehuche,iljutdes	desoz ses dras de lin . Et en lieu de qu  il soloit gesir sor celle huche , il jut des
lorsenavanten.i.troncchevé.Quantilot	lors en avant en . i . tronc chevé . Quant il ot
.ii.anzfaitecestepeneance,sescompainzGautiersrandisonesperitaNostreSeigneur,sicomnos	. ii . anz faite ceste peneance , ses compainz Gautiers randi son esperit a Nostre Seigneur , si com nos
creons.SainzTiebauz,apreslamortsoncompaignon,soffri	creons . Sainz Tiebauz , apres la mort son compaignon , soffri
plusorstemptacionsdelEnnemi.Carentre	plusors temptacions de l  Ennemi . Car entre
lesautrestemptations,lideaubleslenomaparsonnonetliditunenuitquilse	les autres temptations , li deaubles le noma par son non et li dit une nuit qu  il se
levastpordirematines.Quant	levast por dire matines . Quant
lisainzsoïnomer,ilcuidacunssuensamislapelastquipresdeluidemouroit.	li sainz s  oï nomer , il cuida c  uns suens amis l  apelast qui pres de lui demouroit .
Etsialaasacelleettrouvaquilsedormoitetsonhuisbienfermé.Lisainzcognutbienl	Et si ala a sa celle et trouva qu  il se dormoit et son huis bien fermé . Li sainz cognut bien l 
escharnissementdoudeable.SireclamalasainteTrinitéetfistsorsoilesignedelacroizetchaçalEnnemiqui	escharnissement dou deable . Si reclama la sainte Trinité et fist sor soi le signe de la croiz et chaça l  Ennemi qui
sigrantnoisedemenadevantluienfuiantcomsecefussentcharpentierquiboiscoupassent.Unautretensavintque	si grant noise demena devant lui en fuiant com se ce fussent charpentier qui bois coupassent . Un autre tens avint que
,comsainzTiebauzaloitpreechantetilfumontezsorunecharreteporpasser	, com sainz Tiebauz aloit preechant et il fu montez sor une charrete por passer
uneaigueetporcequilestoitgrevezd	une aigue et por ce qu  il estoit grevez d
alerapié,lideaublesostaunedesroesdelacherreteporce	 aler a pié , li deaubles osta une des roes de la cherrete por ce
quillevoloit	qu  il le voloit
fairecheoirenlaigue,mesilnepotcarlacherretealaaussilegierement	faire cheoir en l  aigue , mes il ne pot car la cherrete ala aussi legierement
outrecomsecefustuneplume.AprescequesainzTiebauzotsoufertesmaintestemptations,NostreSiresle	outre com se ce fust une plume . Apres ce que sainz Tiebauz ot soufertes maintes temptations , Nostre Sires le
visetaaucunefoizparsesenges,aucunesfoizensamblancedecoulon,aucunefoizensamblancedome	viseta aucune foiz par ses enges , aucunes foiz en samblance de coulon , aucune foiz en samblance d  ome
etplusors(col.b)foizenmoltdautressamblances.Un	et plusors ( col . b ) foiz en molt d  autres samblances . Un
joravintquantilplouroitsespechiez,unevoizdescendi	jor avint quant il plouroit ses pechiez , une voiz descendi
doucielquilidit:«Thiebaut,	dou ciel qui li dit :« Thiebaut ,
nepleurepascartipechiétesontpardonné.»	ne pleure pas car ti pechié te sont pardonné .»
Apresavintcunssuensserjanzestoittormentezdunetropfortefievreetfissiqu	Apres avint c  uns suens serjanz estoit tormentez d  une trop forte fievre et fis si qu 
ilsambloitquildeustmorir.LimaladesproiasaintTiebaut	il sambloit qu  il deust morir . Li malades proia saint Tiebaut
quilpriastporluietmaintenantlimaladesquiagrantpainneavoitsouffertquenlaportasta	qu  il priast por lui et maintenant li malades qui a grant painne avoit souffert qu  en l  aportast a
léglyse,senralatouzsainzasonostel.	l  églyse , s  en rala touz sainz a son ostel .
Quantlipereset	Quant li peres et
lameresaintTiebautoïrentnovelesdelui,ilvindrentaluiatoutgrantcompaigniedegentixgenzetfurent	la mere saint Tiebaut oïrent noveles de lui , il vindrent a lui atout grant compaignie de gentix genz et furent
moltliéquantilletrouverent.Entrelesjoiesetleslarmesetles	molt lié quant il le trouverent . Entre les joies et les larmes et les
soupirsquelamerefaisoitporsonfilquele	soupirs que la mere faisoit por son fil qu  ele
avoittrovéet	avoit trové et
porsonpaïsetsesautresenfanzqueleavoitlaissié,ellevainquilacharnelamordoumondeets	por son païs et ses autres enfanz qu  ele avoit laissié , elle vainqui la charnel amor dou monde et s
acordaalesperitelamordeDieu,careledemouraavocsaintTiebautsonfileteslutporsesgranzpalais	 acorda a l  esperitel amor de Dieu , car ele demoura avoc saint Tiebaut son fil et eslut por ses granz palais
unepetitemesonceleetporses	une petite mesoncele et por ses
granzcompaignies.i.lieusolitaireporpeneancefaireetporDieuserviravocsonfil.Sainz	granz compaignies . i . lieu solitaire por peneance faire et por Dieu servir avoc son fil . Sainz
Tiebauzservisameresihumblementquapainnesleporroit	Tiebauz servi sa mere si humblement qu  a painnes le porroit
nusdire.DevantcequesainzTiebauztrespassast,ilditquilnavoitsentitemptation	nus dire . Devant ce que sainz Tiebauz trespassast , il dit qu  il n  avoit senti temptation
granttensavoit;etlorsparlavolentédeDieu,sescorsfusisorprisquil	grant tens avoit ; et lors par la volenté de Dieu , ses cors fu si sorpris qu  il
nepooitalernesamainasaboucheporter.Etcestechose	ne pooit aler ne sa main a sa bouche porter . Et ceste chose
faitDiexsoventasesamis,carillesviautensipurgierpartribulation	fait Diex sovent a ses amis , car il les viaut ensi purgier par tribulation
decueretdecors.SainzThiebauznemuaonquesnenechanjasonpropospormaladiequisoncorstravoillast	de cuer et de cors . Sainz Thiebauz ne mua onques ne ne chanja son propos por maladie qui son cors travoillast
quiladesnegeunast.Samaladieenforça.IlsotparlavolentédeDieuquiltrespasseroitenbrieftens	qu  il ades ne geunast . Sa maladie enforça . Il sot par la volenté de Dieu qu  il trespasseroit en brief tens
etselinonça.Ilcoumençaadefaillirdecorsaprescequilotlaissiésompaïsledouziemean	et se li nonça . Il coumença a defaillir de cors apres ce qu  il ot laissié som païs le douzieme an
,ilfu.iii.anzempelerinaigeet.ix.anzensonhabitacle.Quantil	, il fu . iii . anz em pelerinaige et . ix . anz en son habitacle . Quant il
duttrespasserilmanda.i.abbéquimoutestoitsesfamiliersacuiilcoumandasamereettozsesamisesperitiex	dut trespasser il manda . i . abbé qui mout estoit ses familiers a cui il coumanda sa mere et toz ses amis esperitiex
.Letierz	. Le tierz
jordevant	jor devant
sontrespassement,laterrecrollamoltformentpar.	son trespassement , la terre crolla molt forment par .
v.foiz.Tuitcil	v . foiz . Tuit cil
quiestoienten	qui estoient en
lacellesaintThiebautlesentirentbienetaucunqui	la celle saint Thiebaut le sentirent bien et aucun qui
deforsestoient.SainzTiebauztravilloit	defors estoient . Sainz Tiebauz travilloit
moltcorporelmentensamaladie.Unsdesesbonsamis	molt corporelment en sa maladie . Uns de ses bons amis
ditaceusquilaestoientquilsedepartissentdilluecetaucunsen	dit a ceus qui la estoient qu  il se departissent d  illuec et aucun s  en
departirent.Quantilfucommeniezilpria	departirent . Quant il fu commeniez il pria
Nostreseigneurpluseursfoizentelmenniere:«BiauSireDiex,aiespitiédetonpueple!»Quantilotcedit,il	Nostre seigneur pluseurs foiz en tel menniere :« Biau Sire Diex , aies pitié de ton pueple !» Quant il ot ce dit , il
randiaNostre	randi a Nostre
Seigneursonesperitetcil	Seigneur son esperit et cil
quiasontrespassementfurenttesmoignentc	qui a son trespassement furent tesmoignent c
onqueslicorsnemuacoulor.Iltrespassaledarraainjorde	 onques li cors ne mua coulor . Il trespassa le darraain jor de
juingoutensqueHenrislifilzlempereorHenriregnoit.Quantcildoupaïssorent	juing ou tens que Henris li filz l  empereor Henri regnoit . Quant cil dou païs sorent
quelisainzestoittrespassez,cildesvilesetdescitezetclercet	que li sainz estoit trespassez , cil des viles et des citez et clerc et
laivindrentauserviceetentrerentparforcela	lai vindrent au service et entrerent par force la
oulisainzcorsgisoit.Lesautres	ou li sainz cors gisoit . Les autres
genzquiestoient	genz qui estoient
remeses,anciennesgens,enfantet	remeses , anciennes gens , enfant et
pueclesvindrent.	puecles vindrent .
ii.liesencontrelesaintcors,jusqua.i.lieuqu	ii . lies encontre le saint cors , jusqu  a . i . lieu qu 
enditalacortaucheminetlase	en dit a la cort au chemin et la se
reposèrentcilquilesaintcorsporterent.LetierzjorapresfulicorsensevelizenleglyseNotreDameacuititle	reposèrent cil qui le saint cors porterent . Le tierz jor apres fu li cors enseveliz en l  eglyse Notre Dame a cui title
ilavoitestéordonnezaprovoire.AprescequelesgenzdoupaïsorentranduasaintTiebaut	il avoit esté ordonnez a provoire . Apres ce que les genz dou païs orent randu a saint Tiebaut
telsepouturecomildurent,Diexvostmoustrerpardiversmiraclesdequelmeritesesserjanzestoit.Domil	tel sepouture com il durent , Diex vost moustrer par divers miracles de quel merite ses serjanz estoit . Dom il
avintque.iii.famesdediverslieusquilorveuesavoientperdueslesrecouvrerentalatombesaint	avint que . iii . fames de divers lieus qui lor veues avoient perdues les recouvrerent a la tombe saint
Tiebaut.Autrefoisavintque.iii.autrespersonnesquimehaignieestoient	Tiebaut . Autre fois avint que . iii . autres personnes qui mehaignie estoient
parmaladiedelormainset	par maladie de lor mains et
delorpiezsiquilnesenporentaidiervindrentalatombesaintThiebautetparlameritedou	de lor piez si qu  il ne s  en porent aidier vindrent a la tombe saint Thiebaut et par la merite dou
saintfurentsennéentierement.EnlaterredeVeniceavoitunefamequilamainavoit	saint furent senné entierement . En la terre de Venice avoit une fame qui la main avoit
sechieeetcontraite;elevintalasepouturesaintTiebautet	sechiee et contraite ; ele vint a la sepouture saint Tiebaut et
fusenneedesamaladiedevanttoutlepueplequilaestoitEntreplusorsmiraclesqueDiexfaisoitporsaint	fu sennee de sa maladie devant tout le pueple qui la estoit Entre plusors miracles que Diex faisoit por saint
Tiebaut,ilvostque	Tiebaut , il vost que
lameritedesonserjantfustseueetnoncieeenlaterredomilavoitesténez	la merite de son serjant fust seue et nonciee en la terre dom il avoit esté nez
etporcevintla.i.hom	et por ce vint la . i . hom
delaterredeChampaignequila	de la terre de Champaigne qui la
clartédesesieuzavoitperdueetlarecouvraparlamerite	clarté de ses ieuz avoit perdue et la recouvra par la merite
dousaint	dou saint
.Unenfes	. Un enfes
quiavoitperdu.i.desesbrazetundesespiezdeparalisiefuameneza	qui avoit perdu . i . de ses braz et un de ses piez de paralisie fu amenez a
latombede	la tombe de
saintTiebautetcomilotfaitesoroisonetplusorautreavoc	saint Tiebaut et com il ot faite s  oroison et plusor autre avoc
lui,ilse	lui , il se
dreçatouzsainsetrevintensamesonagrantjoie.UnsautreshomdelaterredeLombardieportoit	dreça touz sains et revint en sa meson a grant joie . Uns autres hom de la terre de Lombardie portoit
desaproprevolontésonbrazliédeferetentelmennierefaisoitpeneance.Et	de sa propre volonté son braz lié de fer et en tel menniere faisoit peneance . Et
vintempelerinaigealatombesaintTiebautetcomilveilloitaleglyse,iltendilebrasliédefer	vint em pelerinaige a la tombe saint Tiebaut et com il veilloit a l  eglyse , il tendi le bras lié de fer
porreleverunechandoillequicheueestoitdunchandelieraquoilenlesatachoitdevantle	por relever une chandoille qui cheue estoit d  un chandelier a quoi l  en les atachoit devant le
saintetmaintenant,sesbrazfudesliezdouferetsaillililiensloingdeluietfistgrantson.Autrefoizavint	saint et maintenant , ses braz fu desliez dou fer et sailli li liens loing de lui et fist grant son . Autre foiz avint
